Hybridization REF	TCGA-A7-A0DC-01A-11R-A00Z-07
TPP2	-1.44
C19orf53	-0.0255
GINS3	-0.682625
ST6GALNAC5	1.6745
CHSY1	0.50875
MGC15705	0.507
GPR83	0.1502
EXT2	0.224125
DOLK	0.31325
TUBAL3	0.4585
ACVRL1	1.2128
ABL2	-0.832833333333333
C14orf156	-1.17383333333333
PTPRZ1	-4.40025
DIP2C	0.884625
LAMP1	0.784875
RXRA	0.3779
MAP3K5	1.30775
ALKBH1	0.097
PDLIM7	-0.962
ARL14	-1.726
SNIP1	0.175333333333333
TIMP3	1.23166666666667
RGS3	-0.367833333333333
SPAG16	1.0918
ABHD4	0.52625
ARHGEF12	0.727833333333333
GLUD2	1.6985
RAC2	-2.6324
UAP1L1	-0.244
SLC18A3	-0.067
YOD1	-1.849
RALY	0.5195
HMOX2	1.15075
DGKH	-1.34025
DBNDD2	3.22966666666667
YIPF4	0.30225
THAP10	-0.58675
ZNF513	1.2025
HAGHL	0.777
ITGB4	-1.77116666666667
CCDC141	-1.026
YTHDF3	0.62475
C5orf28	0.73475
RPL7L1	0.451125
TMEM30B	1.80771428571429
ANKRD35	-0.9645
DUOXA2	0.2605
TBC1D5	-0.039125
DFNB59	0.533
HRH4	0.90175
MYO6	3.0196
DNAJA4	2.5365
RBM24	4.697125
CEACAM20	-1.82725
RBM23	-0.0342142857142858
NGFB	0.2165
C1orf63	-0.9495
KRTAP7-1	0.4015
PERLD1	1.85625
NPB	0.2485
C17orf59	1.5636
HSPBAP1	-0.32225
SLC15A4	0.20125
PRTFDC1	-0.1005
OSMR	-1.51228571428571
CYSLTR2	0.896
C19orf25	0.8736
KIAA1797	-0.2035
NLRP6	-0.673
FAM105B	-0.3769
SCRN2	-0.3155
LRRC58	-0.6451
RNF17	0.496857142857143
NEIL3	-3.691
FAM137A	-0.424
SKP2	-3.1395
PARVA	0.91
PKLR	-1.46
RNF34	0.448375
A3GALT2	0.55775
C12orf50	0.0213333333333333
SUNC1	-1.82375
FAM102B	0.438833333333333
CCT2	-0.50275
LRRC37A2	-0.7715
ARF4	1.061
SIKE	-0.30775
C8orf48	-2.05266666666667
MBTPS1	0.562
GPSN2	0.223
NCF2	-0.24275
SLC12A6	-0.749166666666667
MRPL48	0.56225
HMGN3	-0.403
LRRC62	-0.39325
PAX9	-1.12625
FAM55A	0.6635
C20orf42	-4.524
SCML2	-1.3605
BCL9	0.6085
FAM40A	-0.6905
C9orf41	-0.513
ZNF774	-0.4095
LETM1	1.1665
PLXNB1	1.18633333333333
NIPSNAP1	0.75075
USP10	-0.9675
F9	0.75925
LIPE	0.538
CNGB3	-1.0305
C12orf52	0.282875
PI4K2A	0.199125
MED8	-0.4085
STAT4	0.8893
FGD4	-0.769166666666667
RNF145	-4.29916666666667
WDR32	0.9888
CLDN2	0.2085
TCEAL8	0.923
ZMYND8	1.0453
PDXK	-0.66203125
GATAD2A	-0.56225
PTGES3	-0.036
CCM2	-1.0185
TAP1	-1.284875
ZNF670	-0.1255
ETS2	-1.30578571428571
C6orf166	0.118833333333333
PRMT2	0.280285714285714
OR4B1	0.7135
INTS8	-0.1195
CCDC102A	-0.7275
CCDC83	-1.2505
ITGA1	-0.8565
EPHA5	-2.00077777777778
FAM24B	-1.07433333333333
TSGA10	3.92675
HAL	0.142166666666667
MYOT	0.157
SPACA3	-0.25575
BCL2L2	-0.146833333333333
CUGBP2	-3.49466666666667
CCNB3	2.06725
RNF113B	0.23525
MERTK	-2.29975
BAG1	0.388
VPS36	-0.7875
ORMDL3	1.7051
C1orf190	-0.04575
ZNF625	0.409
CORO2B	-2.3095
ALOX15	-0.8205
CST1	-1.1315
NUPR1	2.94933333333333
CCL7	-0.04275
SMCR5	-2.2945
DSC2	1.521
RBMS2	-0.21125
GRIK4	0.7925
TRIM65	-0.4936
TMPRSS6	0.782785714285714
TP53INP2	-0.0665
GLB1L	0.0095
LOC388284	0.511666666666667
PUS1	-0.661785714285714
BCL9L	-0.3325
OLFM1	1.77066666666667
RET	-1.20125
MASTL	-2.49733333333333
ALX3	0.46875
IL1RL1	0.7076
ZNF765	0.3348
C14orf138	-0.544
SNX10	0.2455
TAC4	0.5185
C1orf64	4.262625
POGK	-0.326625
MAPK9	-0.37775
ZNF366	2.7475
C8orf79	0.1216
CLDN7	2.803875
OR5AT1	0.5295
TRIM37	-1.54725
LRRC25	0.20225
GRHL2	3.6497
TEKT3	1.98175
LASS5	0.560666666666667
ABCC4	-3.02891666666667
DLG3	0.763125
VGLL1	0.997875
ZFP36L2	-0.194333333333333
MFRP	-0.0956666666666667
KIAA1799	0.06625
FLJ44379	1.2205
PCNX	-0.6165
ANXA9	1.2045
CYP4V2	1.5666
PIK3C2A	0.669
SRR	1.569
NOL3	-0.42075
IFITM2	-1.1
ARNTL2	-3.4395
ZNF595	0.3735
NLRP13	2.717
ASPH	2.261
CPA2	0.661
PVRIG	-2.44866666666667
LEPR	-1.35533333333333
C16orf42	1.17333333333333
SH3BGRL	-1.105
FAM77D	-0.8805
FNDC7	0.094
C9orf6	-0.428
NOTCH2NL	0.0615
PGBD1	0.479833333333333
SYNGR2	-0.380333333333333
PITPNA	-0.53275
PRPF4B	-0.3341
SLC43A3	-2.53271428571429
NRBP1	-0.2985
SLC25A22	0.7085
ILK	-0.263625
SLC22A8	0.589666666666667
MRPS7	-0.850875
PITX2	-4.97575
FABP3	2.17225
OR1L1	-0.2895
LOC728215	0.353125
BLID	-1.69
KIAA1217	3.38511764705882
TFPT	0.2645
AP4B1	-1.1475
VBP1	-1.1625
OR1K1	0.614
MORC3	0.3875
BHMT2	-1.33066666666667
C3orf10	0.65
FZD7	0.1665
WFDC10A	-1.11
PMS2CL	-0.349625
CCDC32	0.4455
FA2H	-3.99375
ALG13	-0.245
TTLL7	-1.2961
SPOCK3	-0.263333333333333
SLC13A2	0.883
AIM1	1.53625
GPRC6A	-0.1265
EGR2	1.2805
MED11	1.0015
WWC1	1.7835
SH3GL3	-3.7045
RIF1	-0.982428571428572
PRLH	-0.1275
VLDLR	-2.8945
DBT	0.455375
C21orf63	-0.48375
CGGBP1	-0.27275
KRTAP12-2	0.00850000000000001
TADA3L	-0.826125
ZBTB16	2.755
PDGFB	2.512875
RFX1	0.156
UQCRB	0.1473
LOC133874	-0.7705
HPS3	-2.88975
LGALS3BP	-2.2429
DKFZP564O0823	0.0354285714285714
MRFAP1L1	1.69875
HOXA10	-2.47416666666667
NGB	-0.0995
KIF21A	0.130230769230769
IFLTD1	0.0165
LZTS1	-0.329125
ARHGEF3	2.33975
RHBDL3	-2.669
CSNK1G2	-0.156833333333333
ChGn	-2.03075
KIAA1244	2.67633333333333
GABRB2	-0.1305
MGC72080	-0.093
CD27	0.32625
EGLN1	-2.3956
PEX13	0.20625
RWDD3	-0.3945
RNF12	-0.726166666666667
GRIN2B	0.259
ADAMTS14	-0.881125
DYDC2	2.49233333333333
ATP6AP1	1.1304
NR1H2	0.0591666666666667
PDK2	1.0225
C3orf17	-0.152
SLC38A2	-0.283071428571429
SLC25A29	1.1605
C15orf29	0.47375
ADAM9	-0.251166666666667
TMUB2	1.149
GPR176	0.663
AGK	-0.693125
MCCD1	4.69875
NDUFA4	-0.798
TMEM146	-0.7695
DUSP1	1.09725
UNQ6975	3.8055
EMX2OS	2.82625
INSM2	0.126
LUZP4	-0.495
SETD6	-1.2395
P2RY2	4.2635
SLC45A2	-1.6285
RABGAP1	1.0395
UBXD5	-0.183125
GPRC5A	1.4791
PAK3	-1.75983333333333
LOC63920	-0.40275
TGFBR1	-0.9618
KRTAP6-3	0.3715
SFMBT2	-0.30675
CDC42	-0.084375
C11orf35	1.9495
TTLL2	0.706
UACA	-0.0390833333333333
CD97	-1.5474
SETD5	-0.16975
NINJ2	-2.203
PTER	0.838166666666667
POMGNT1	0.2665
KRTAP4-2	0.9255
ECGF1	2.050375
HRB	-0.456363636363636
ATP1B2	-0.0123
LOC400506	0.70175
COL4A3BP	0.27375
C6orf97	2.17725
GRHPR	0.628
TAS2R1	0.881
SEMA7A	-1.50925
EDF1	-0.06675
ODF2L	0.3444
PCID2	-1.04866666666667
GTF2H4	-0.410333333333333
ZCCHC3	-0.301125
CGB2	0.2255
NEUROD1	0.06875
C20orf75	-1.072
RP5-1054A22.3	0.116833333333333
IFNA5	1.0665
ZNF134	0.818416666666667
MGC119295	-0.9437
ZSWIM6	0.39175
SMEK1	0.2155
PCGF2	0.26325
C1orf102	3.18725
CYP2A13	1.959
KCNH6	-1.28166666666667
MDM1	0.3342
ALDH7A1	0.689833333333333
C9orf75	0.07525
VDAC3	0.346875
OR51T1	-0.039
EIF3F	-0.328
KCNJ10	-0.6195
LENG8	0.33
EDEM2	0.93275
CCNJL	-2.168
DHX37	-0.575
CRYGN	-0.7605
AATF	0.04275
ZNF630	1.402
E2F5	0.8655
WFDC13	0.57
FTSJ3	-0.948333333333333
C4orf33	-0.54675
LHFPL4	-3.08675
C19orf56	-0.300666666666667
SMAD4	-0.52175
AFM	-0.64375
G0S2	-3.942
FCHSD2	1.2515
RRP1B	-1.0933
EEF1B2	-1.32633333333333
STAT6	0.358333333333333
ZNF195	-0.206
GNL1	-0.798833333333333
ZNRF2	0.00283333333333333
PER3	1.382625
ASB16	0.48725
C10orf10	1.52414285714286
ADCY8	-2.94233333333333
C9orf58	-2.33133333333333
ARMC10	-0.342333333333333
PSG1	-0.104
DHX34	0.0335
VARS2	-0.223
NFIC	0.65225
ITPR2	2.52325
AGXT2	0.284333333333333
OR6K3	0.1825
H2AFZ	-1.4955
MLLT3	1.37933333333333
COX4I2	2.58475
CCNT2	-0.12175
PLK4	-2.110375
NUMBL	0.206333333333333
MED16	0.66075
PLEKHQ1	-0.71575
GOSR1	0.675555555555556
BTG4	0.02225
RPL30	1.09741666666667
IGSF5	-0.1025
IGFL2	-1.1748
ELMOD2	0.235833333333333
SHC3	-1.64983333333333
HAVCR1	0.391
DYNC2H1	0.22975
RNF5	-0.500666666666667
C2orf7	-1.507
NLF1	0.766
KLHL25	0.5095
LRP10	0.4776
KRI1	-0.14275
PUS7L	0.00983333333333334
MGMT	1.87125
HOXD1	-2.76966666666667
CSH1	0.56
ATG16L2	1.873
FLJ44635	-0.4345
CHODL	-0.62525
EXOSC8	-2.22825
SLC28A1	-0.6835
MYO7B	-0.727666666666667
SEH1L	-0.5326
MTNR1A	0.493666666666667
TSPAN5	1.61733333333333
CDC45L	-3.7685
AMIGO1	1.309
ATAD3A	-1.080625
OSGIN2	0.811
PDIK1L	1.28833333333333
DARC	0.92125
PIPSL	-0.208
SHMT1	-0.97425
CRISP3	-1.024
POPDC2	2.31016666666667
ZRANB2	-0.922
FBXL8	0.67625
TRIP13	-2.30318181818182
EIF5AL1	-0.4215
POU5F1P3	-4.51033333333333
IL6	-3.92883333333333
CXorf38	-0.9875
IFNA16	-0.022
FBXL2	1.35233333333333
BRD1	0.78775
STATH	-0.013
FBXO44	1.39616666666667
MCCC2	0.29175
CDC2	-2.6515
C5orf23	-2.90875
IVD	1.20633333333333
C10orf122	-1.59766666666667
MSL3L1	-0.7651
MVP	0.7505
EPOR	-0.054
ZMYM1	-0.637166666666667
BCL7C	0.610166666666667
PSTPIP2	1.3569
LYPD1	-2.860625
OR8G5	0.54
ZP3	0.666166666666667
BCAS4	2.13366666666667
EDG6	-0.22625
ISY1	-0.3825
PRAMEF2	-1.2105
CUL1	-0.44675
RNF213	-0.5047
CCRK	1.6335
DHX9	-0.162625
C13orf29	-0.6
NCKAP1	0.654333333333333
MRPL43	0.959428571428571
XPR1	-1.0585
PKN2	0.5319
PODNL1	-1.069
ZNF333	0.39725
DALRD3	0.78525
OPN1SW	0.2195
BTBD6	0.27875
C11orf82	-2.3815
OR5P3	null
DUSP11	0.096
L1CAM	-1.9732
NEK11	2.3595
OR7E91P	2.3615
CNTN3	4.2266
CREB3L2	-0.1385
ZBTB37	0.683
KIAA1324L	0.93625
NDUFB10	0.972333333333333
NUDT2	0.60625
GTPBP8	-1.337
CACNA1D	2.152625
PRKAA2	-3.636
PRDM8	0.1285
MGC16075	-0.848333333333333
KRT14	-0.326714285714286
PP8961	0.94075
MRPL18	0.000250000000000007
ABCG2	-1.77875
PACRG	1.367
BBS2	-0.41675
KREMEN2	-3.5025
FBXO21	0.9845
HNRPUL1	0.305916666666667
GRB10	-0.30025
CLSTN1	0.707875
LMAN2	0.0734
C17orf61	0.60925
NIPSNAP3A	0.37025
INSIG2	-1.42016666666667
PCDHB7	-0.37
STXBP2	0.76025
CMAH	0.0354166666666667
SEMA5B	-0.69475
ZNF155	0.454833333333333
COQ6	0.991666666666667
PRPF4	-0.81575
TSPAN15	2.1666
VN1R5	0.25575
LATS2	-0.2155
SELK	0.52825
PGK2	-0.3355
MS4A1	-2.037625
TYW3	-0.4907
KRTAP5-1	1.1605
RCCD1	-1.5785
BTN1A1	0.22675
DDX28	-0.26325
TMEM65	-1.138
LOC92345	0.172
TTC31	-0.133
WDR46	-0.487
CHP2	-1.4165
LSP1	-1.46575
ZNF542	0.571
EXOSC1	-0.4325
ARHGAP18	-0.301166666666667
LRRTM4	-1.088375
MAOB	2.255
CACNB4	1.5325
MGC33846	-5.55111512312578e-17
RANBP3L	2.050875
ATP5L	-0.522
ONECUT1	-3.387
NUDT9	0.21975
TMEM149	-1.284
STX17	-0.43875
IGSF10	-5.2695
TMPRSS9	0.4505
BMPR2	1.23008333333333
ALLC	-0.019
KLF7	-1.452125
GCC1	0.3549
TIMM9	-0.97625
CDO1	0.832
MGC10701	-0.786833333333333
IFI6	-1.11666666666667
FRMD8	0.27475
MGAT2	-0.24
WBP5	-0.299333333333333
CNIH2	0.0255
KIAA0907	-1.5795
KCNH8	-0.4705
CTSG	-3.0875
GRIK1	1.32633333333333
CUL5	0.727375
FRMD1	0.603
OR9A4	-0.4435
SYT6	-1.77175
FOXD4L2	-0.0075
ANAPC2	-0.722
OPN5	0.0275000000000001
TAF13	-0.8625
LYG2	0.02475
GGNBP1	-0.19
C11orf40	0.00549999999999999
OTX2	-0.271
REG4	0.0924
EIF5	0.147875
PALB2	-0.201
SEPSECS	0.2985
RNASE3	-0.72375
TRIM49	-2.18
POLR2K	1.4744
GPR42	0.2715
C8B	-2.92625
SASS6	-0.45725
PREB	-0.616166666666667
OR3A3	0.649
TUBA8	0.50775
IGLV2-14	-3.01225
STIL	-3.489
ANKFN1	-1.12116666666667
NME7	-0.7615
HOXC12	-0.8995
UBE2C	-1.94675
FHOD1	-1.927875
CDK2AP1	0.0875
OR6K2	0.7745
DHPS	0.083
RPL5	-0.362166666666667
TRGV5	0.369
LOC541472	-0.04025
HCCS	0.0925
DENND1B	1.4655
LHX3	0.343
OR5D16	1.0515
CXorf57	0.252333333333333
IRF2BP1	0.95425
NDST2	0.4115
LCE3D	-0.046
BOLL	0.46975
SYT3	-0.99075
PIH1D2	-0.6055
C20orf7	-0.135166666666667
IL1R2	-0.971666666666667
SLAMF9	-0.5315
PPME1	-0.232625
PIK3CA	-0.1375
TRAPPC1	-0.29725
COLEC10	-0.453
SLC9A6	-0.2125
PDDC1	0.60425
CCDC53	0.33575
GK3P	-0.172
DAZL	-1.60166666666667
BRI3	-1.28825
SDK1	0.637125
CYP2C18	0.25375
IFI44L	0.24325
RPL3L	0.5755
FUT9	-1.2955
KIFC2	1.23133333333333
PMP2	-0.79075
SLC4A9	0.9265
PLAG1	-1.084
MYCBP2	-0.2815
OR4E2	4.268
CCDC65	2.06575
C16orf82	0.42225
ENTPD4	-1.105125
BRP44L	-0.2835
PMP22CD	0.347
TMCO4	0.8155
KCNN1	-0.704333333333333
WDR35	0.61375
CCDC80	-1.58775
C3orf31	-0.874
SLC7A9	0.3465
TMEM190	-1.80925
DBC1	-2.98683333333333
FADS3	-1.61283333333333
PDZD8	0.0435
GRM5	0.375625
AZGP1	3.5656
PEX3	0.9605
MED1	0.324571428571429
ATG4C	-1.58516666666667
HNRPH3	-0.769875
FAM109B	2.2325
C4orf17	-0.4495
CA10	1.536
OPRD1	0.51
CCL16	-1.35425
SACM1L	-0.761
CST6	5.26025
CD63	0.1995
LGI1	-1.1405
ZNF784	0.89075
CRYBB1	-2.7685
CX3CL1	0.21805
TOP2A	-3.001375
GYPB	-4.2655
GADD45GIP1	-0.454
FEN1	-2.24025
IGF1R	1.804875
WDR72	-3.02283333333333
PURG	-1.28833333333333
DEFB126	-0.18375
PKD1L1	-0.46975
CAV1	-2.7943
GNPDA2	0.7527
DGAT2	1.292625
NLGN1	-5.45033333333333
STRBP	0.91775
HPRT1	-0.633666666666667
FANCI	-2.840375
PSMA7	0.89075
DBF4B	-0.502833333333333
TTF1	-0.716
RAD54L	-2.9835
ELOF1	0.13425
PLAGL2	-0.26075
ZNF256	0.626
HMGCL	1.036
MSI2	-0.0395
RPESP	-3.52983333333333
C11orf60	0.8955
ABCD1	-0.122
ACAA1	0.8612
SPARCL1	4.50042857142857
IL6ST	2.6243
ZNF319	-0.72125
TMEM109	-0.214
FAM90A1	-2.47316666666667
IL22RA1	-1.878
ATP4B	0.202
TEC	-1.41966666666667
C7orf30	-1.29425
TXNDC2	-0.330166666666667
ABCB4	-1.04675
KIAA1191	1.023
C9orf38	-0.033
SFTPB	0.1305
CNTNAP2	0.258
FRK	0.6305
TBX19	-0.325
CHD4	0.0695
C6orf26	-1.86666666666667
MOSC2	1.1105
IKBKE	-1.7255
HIF1A	-2.5595
LOC595101	0.421
RELA	-0.205666666666667
TMEM16B	3.354
ABHD12B	2.662
TSEN34	1.15375
KIF18A	-2.79625
TXNDC9	-0.236333333333333
SPATA2L	0.1225
SEMA4G	-0.659
C21orf91	-0.852625
MATN1	0.052
KCNIP4	-0.5675
TUSC1	2.146875
OR4C15	0.382
ARMCX6	0.183083333333333
WBSCR27	-1.0555
OR52I2	-0.222
KIAA1604	-1.438
DYNC1I1	-1.386
PPP4C	0.49575
SLC47A2	-1.8625
TREH	0.32275
CD48	-2.47733333333333
ST14	0.229333333333333
PKN1	-0.399
SPON2	-0.6895
XBP1	3.79558333333333
SFRS12	-0.488166666666667
EFCAB6	4.177
SELT	0.0645
SLC39A2	0.255
ERF	-0.834
ARL3	1.92275
SURF6	-0.5523
MLLT10	-0.455285714285714
FLJ11171	0.5185
TDGF1	-5.00216666666667
ERCC6	-0.52925
EIF2AK4	1.542
BAZ1A	-0.7435
LRRN3	-1.3175
TMC3	0.7385
EFTUD1	0.0035
PTPRO	-1.5105
CLEC12A	-0.1415
ACBD4	1.032375
ZDHHC14	-0.817625
OTUD7B	1.066375
ACTB	-0.02775
MSRA	-0.874375
LCE5A	1.0695
IFI35	-0.1565
BSCL2	0.771166666666667
ANKRD12	0.572
CFHR2	-0.14925
RGAG1	0.048
HSFY1	-0.338
SLC30A5	0.567416666666667
IMPG1	0.709
GPR109A	0.8535
ZNF185	0.552
IYD	1.096
NPCDR1	1.4705
SERPINA13	-0.598
HMGCLL1	1.726
NEUROG1	0.785333333333333
UBQLN1	-0.4303125
LIN37	-0.35525
SOCS2	0.4155
DSCR4	-1.770125
XKR6	-1.69875
GPR142	0.7305
KRTAP13-3	-0.1825
CCDC15	-1.177
MOS	0.2175
CD1E	-3.172
OFCC1	-1.114
FAM83D	-2.386
SRFBP1	0.10925
C9orf96	-0.106
DHDH	-0.5435
CCDC90A	-0.4685
RABL3	0.02605
CD320	-0.885666666666667
ANGEL2	-0.126833333333333
MRPL21	0.88125
SMG6	0.8335
INSR	3.123125
FLJ14816	-0.6255
GLRB	1.5965
C9orf89	1.986
CIZ1	-0.774
URG4	-0.343333333333333
LRDD	-0.604333333333333
CBY1	1.85683333333333
NFX1	0.10275
MTERFD2	-0.0551428571428572
C19orf23	0.545
PGC	-2.885
IER3IP1	1.4878
RASAL2	0.178833333333333
C1orf89	0.35425
SYNJ1	-0.74825
NFKBIE	-0.175
FLJ40125	-1.28383333333333
TCEB2	0.3161
NOG	-2.3305
POLR2J2	-0.396166666666667
HLA-B	-0.707
PCDHA1	0.9685
PPP2R2B	-2.49525
ARHGEF17	1.95233333333333
TCF7L2	0.845142857142857
CHD5	-0.941666666666667
ZNF431	-0.794
TBC1D25	0.43525
ZNF800	0.43525
SCUBE2	4.98681818181818
MYCBP	0.098
GPX5	0.4235
C6orf129	0.361333333333333
QSER1	-0.700166666666667
ULK2	3.17025
PIGO	0.774
NRCAM	0.800928571428571
SLC35E3	1.9885
CSRP2	-1.67025
HYPE	-0.14625
MAPK15	0.7315
MGC14327	0.36825
TIMM13	0.296833333333333
ZNF462	-2.89425
GBA3	-0.21475
TEX13A	0.1865
MCM6	-1.85455555555556
MTRF1	-1.330875
ABCA7	-0.40075
EIF4A2	0.47125
ZC3H10	1.4487
RPGR	0.817666666666667
C20orf94	1.09125
RP1L1	0.37825
GPR125	-0.127125
USP22	0.337642857142857
OR1L4	0.337
MLZE	-0.19475
FLJ32065	0.567
PTCD1	-0.408
CRTAC1	-0.479333333333333
BXDC2	-1.05375
C18orf1	3.479
FAM107A	0.897071428571429
EFNA3	-0.62075
P18SRP	-0.4804
CAMKK2	0.810666666666667
KIAA0649	-0.8885
NES	-1.46666666666667
HS6ST3	1.849875
PON2	-0.82175
TCP11L2	-0.24675
CLEC4A	1.19825
PRR12	0.762
MLXIPL	-0.8786
C2orf50	1.8005
ZNF28	0.89325
ENC1	-1.49733333333333
MAP2K1	-0.267875
FKSG2	-0.18125
KIAA0430	1.14425
PTP4A1	-0.748444444444444
GPR156	1.021
GTF3C6	-0.42975
UBR2	-0.1063
LOC388272	0.602
MAK	1.42716666666667
ACOT4	2.5085
STC2	3.97175
PIGW	-0.224625
SAE1	-0.178875
COL6A1	-0.9255
OAZ1	0.470666666666667
STMN4	0.2115
EDG3	3.29016666666667
SGCE	-1.392
IL11	-3.259
PRSS8	3.198375
YIPF5	0.682916666666667
WNT4	4.809875
CSN2	0.625833333333333
TCF7	-2.932
TDO2	1.33625
SAMD9	-2.683
S100A7A	-1.3445
MMRN1	0.988333333333333
GKAP1	-0.344
AKR1C3	-3.3475
RNF19A	3.127625
GMDS	-1.01925
YKT6	-0.956
SPARC	0.929
C12orf31	-0.46975
UBE2V2	-0.355666666666667
FBXL18	-0.850833333333333
KIAA0460	-0.111
ADAM22	-0.443375
SERPINC1	-4.3555
KCTD21	1.42925
MYOHD1	-1.9135
ZNF37A	0.8555
GTF3C1	0.762833333333333
CTSZ	1.553
PRNPIP	-0.71475
DRD1IP	0.05475
NR1I2	-2.3845
ZNF266	0.0002
SPAG4L	0.499
COX4NB	-0.91375
SAPS1	0.4405
APOA1	-3.561375
TATDN1	0.308166666666667
C10orf82	4.908
KPNB1	-0.48175
FOXO3	1.433
CRYBB2	-0.5125
ZBTB5	-0.426
SLC25A38	0.82425
DCTN2	-0.197833333333333
IFT20	0.1575
CTHRC1	0.52525
C1orf31	-1.10325
UHRF1	-0.870125
GPC6	-2.27175
C10orf54	-0.0695
MCF2L2	0.139
WNT9B	0.17175
OLA1	0.6085
FAM120B	1.12725
TTLL10	0.8485
CYorf15A	-5.27233333333333
RELN	-2.4516
SCN2B	-0.191416666666667
MFHAS1	-1.97875
NKX3-2	-1.88916666666667
RASGRF2	-1.535
SSBP1	-1.28283333333333
KPNA6	0.0798571428571428
LOC389118	-0.2745
HS3ST4	-2.0186
SUPT7L	-0.204875
FLJ32658	-0.1085
IGFBPL1	-1.0605
KIAA1641	-0.5695
SHKBP1	-0.667333333333333
CSF1R	3.39475
NAGK	1.4785
MYL2	0.8415
HIST1H4C	-1.9245
TOMM7	-1.0065
ADAMTSL3	2.9367
TNFSF14	-1.5795
PRRT2	-0.005
VTA1	0.110125
AOAH	0.683
CRISPLD2	0.441214285714286
PNN	-0.9349
TA-NFKBH	-0.217
ESPN	-0.85775
RBM43	-0.3
KIAA1267	0.578875
DDX3X	0.623666666666667
KIAA1576	-5.352
PLXDC1	4.764
FLJ25801	-4.16775
HNRNPL	0.7905
RUNDC3A	1.69016666666667
CASP12	1.672
SH2D5	-1.166
RPL26L1	-0.029
OR51A7	0.68
HDC	1.078
C2orf16	0.0496666666666666
SYTL3	1.17425
GOLGA4	0.2773125
NOTCH1	-0.795
ATPAF2	1.625
ECD	0.2365
SSX5	0.0895
SNAP91	0.256
OCA2	-5.57325
PNPO	0.357
DAPK1	-2.75933333333333
PINX1	-1.4625
SELENBP1	1.215625
NEK3	-0.964333333333333
TMED4	-0.377785714285714
SSTR4	0.371
FOSL1	-2.8316
CD40LG	0.3305
CES1	-2.84018181818182
DCI	1.2195
B3GAT3	0.314
STK17B	-2.429
CNTN6	-0.18325
CYP3A4	-2.305
MBOAT2	-0.00185714285714286
PISD	1.700625
USP1	-1.02975
PYDC1	0.233833333333333
CENPM	-1.9595
SAR1B	0.07425
TTC7B	-0.115
DP58	0.5535
GPC1	1.001
RBL1	-1.542125
TMEM137	-1.606
TOB1	1.79175
TCEAL1	3.63816666666667
CENPF	-3.43427272727273
C6	0.3215
PRSS1	-3.753
PPIL6	1.83433333333333
C6orf124	0.6675
ODZ4	-0.700833333333333
SNCB	-0.27825
NDUFB9	1.026
CNOT6L	1.1355
S100A9	-1.69066666666667
TRIM50	-0.0125
KCTD1	2.0574
WDR63	0.11125
SPEF2	3.57675
RNGTT	0.0215
CXorf22	-0.0355
KCNK16	0.821
CEP250	-0.27725
ATPBD1B	-0.711
KCNJ2	3.5205
MT1B	-0.3785
ZNF684	-0.96
SLC4A1	1.0245
PDHA1	-0.81625
ZNF492	0.086125
TKT	-1.54275
BYSL	-0.136625
RNF38	-0.087875
AHDC1	0.096
KLHL2	0.971625
CMTM8	1.99625
DMP1	1.693
HERPUD2	-0.318625
CRTAM	0.4506
ZNF572	2.1775
TMEM16J	-0.0285
HSD17B2	-4.549
UBE2G1	0.644375
AHSA2	-1.83175
PELI2	-2.089
TPX2	-2.274125
ATP9B	1.6975
DAZAP1	0.106625
HMGCS2	0.190166666666667
C17orf38	-0.51575
B9D1	1.266625
NKX2-5	-1.16966666666667
KIAA1276	2.599
LILRB2	1.4455
CSTF1	0.2845
BTN2A1	-0.437
C15orf48	5.776
IGF2BP3	-4.1115
FAM113B	-1.62816666666667
HRG	0.239833333333333
ZNF131	-0.27875
USP47	1.64221428571429
CCDC88B	-2.59325
HCN1	1.7606
HTN1	-0.8476
SYCP3	-0.977
C13orf23	-2.1556
PAPOLA	0.4839375
AATK	0.3852
MSH3	-0.0446666666666667
NDUFAB1	-0.225
ITLN2	-0.829666666666667
BAK1	0.039
MRPL45	0.192
MTNR1B	-0.173666666666667
LOC645843	0.5035
SPECC1L	0.8115
PGCP	0.787
SPN	-1.417375
GPR143	1.8835
ZNF576	0.184333333333333
TMEM39A	-0.0117
ATP5D	-0.534666666666667
MAGEB3	-0.7005
RPS5	-0.443
ANP32E	-1.22114285714286
MTMR1	-0.017
YEATS4	-0.4935
SYNGAP1	-0.00325
PCOLCE	-2.32733333333333
MNS1	-0.0185
PCYT2	-0.8275
ZNF182	0.32825
LAX1	-1.59325
SPPL2B	0.5835
ELOVL5	1.1379
PCDHAC1	-0.1005
B4GALNT1	-1.64666666666667
BLOC1S2	0.44975
ZNF673	-0.3766
ARHGAP21	-0.3415
IRX5	3.209625
LRFN5	-2.09583333333333
FAM7A1	-2.1515
RAB19	2.581
GINS1	-1.70125
ITM2B	1.5919
PAPSS2	3.30375
OR5BF1	0.344
ACSL3	-0.221375
KIAA1919	-0.383166666666667
GLT8D2	-1.374625
UTRN	0.807214285714286
CNN1	-0.31125
HISPPD2A	0.946
SDAD1	-0.172375
SIGLEC9	-0.6245
RPL35	-0.263285714285714
C22orf26	-0.5425
IMPDH2	-0.971
WDR69	-1.19125
SEC14L5	-1.04283333333333
CLTA	-0.2875
RP11-529I10.4	0.565
GPR37L1	0.4825
OGDH	-0.818083333333333
